Job Titles,AI Impact,Tasks,Task Type,AI Models,Model Sophistication,AI Workload Ratio,Domain
Vp Engineering,0.05,1104,Complex,4371,Intermediate,0.252573782,Engineering & Technology
User Experience Researcher,0.05,1222,Complex,5051,Intermediate,0.241932291,Research & Academia
Activity Assistant,0.05,1053,Routine,4214,Intermediate,0.249881348,General
Chief Compliance Officer,0.05,1054,Routine,3980,Intermediate,0.264824121,General
Event Planning,0.05,1267,Routine,5285,Intermediate,0.239735099,General
Hr Administrative Assistant,0.05,919,Routine,3883,Intermediate,0.236672676,General
Human Resources Clerk,0.05,882,Routine,3499,Basic,0.252072021,Administrative
Payroll Director,0.05,626,Complex,2573,Intermediate,0.243295764,Management & Administration
Bailiff,0.05,659,Routine,2848,Intermediate,0.231390449,General
Court Clerk,0.05,836,Routine,3454,Basic,0.242038217,Administrative
Court Officer,0.05,763,Routine,3196,Intermediate,0.23873592,General
Court Reporter,0.05,875,Routine,3386,Intermediate,0.258417011,General
Deputy Clerk,0.05,763,Routine,3223,Basic,0.23673596,Administrative
Deputy Court Clerk,0.05,722,Routine,2875,Basic,0.251130435,Administrative
Judge,0.05,323,Routine,1443,Basic,0.223839224,General
Justice,0.05,313,Routine,1207,Basic,0.25932063,General
Notary Public,0.05,490,Routine,2166,Intermediate,0.226223453,General
Animal Care Technician,0.05,292,Routine,1453,Basic,0.200963524,Engineering & Technology
Animal Caretaker,0.05,267,Routine,1393,Basic,0.191672649,General
Animal Keeper,0.05,272,Routine,1404,Basic,0.193732194,General
Animal Technician,0.05,273,Routine,1439,Basic,0.18971508,Engineering & Technology
Associate Veterinarian,0.05,612,Routine,2390,Intermediate,0.256066946,General
Cowboy,0.05,293,Routine,1014,Basic,0.288954635,General
Hostler,0.05,310,Routine,1098,Basic,0.282331512,General
Marine Mammal Trainer,0.05,493,Routine,1919,Intermediate,0.256904638,General
Ranch Hand,0.05,250,Routine,1028,Basic,0.243190661,General
Ranch Manager,0.05,351,Complex,1359,Basic,0.258278146,Management & Administration
Veterinarian,0.05,397,Routine,1594,Intermediate,0.249058971,General
Veterinary,0.05,388,Routine,1600,Intermediate,0.2425,General
Zoologist,0.05,307,Routine,1165,Basic,0.263519313,General
Bishop,0.05,543,Routine,2300,Intermediate,0.236086957,General
Deaconess,0.05,532,Routine,2242,Intermediate,0.237288136,General
Lead Pastor,0.05,514,Routine,2290,Intermediate,0.224454148,General
Minister,0.05,505,Routine,2351,Intermediate,0.214802212,General
Pastor,0.05,565,Routine,2730,Intermediate,0.206959707,General
Priest,0.05,556,Routine,2640,Intermediate,0.210606061,General
Rabbi,0.05,562,Routine,2693,Intermediate,0.208689194,General
Baseball Coach,0.05,954,Routine,3636,Intermediate,0.262376238,General
Basketball Coach,0.05,952,Routine,3634,Intermediate,0.261970281,General
Basketball Referee,0.05,828,Routine,2960,Intermediate,0.27972973,General
Cheerleading Coach,0.05,890,Routine,3391,Intermediate,0.262459451,General
Diving Coach,0.05,822,Routine,2945,Intermediate,0.279117148,General
Event Planner,0.05,1273,Routine,5304,Intermediate,0.240007541,General
Golf Coach,0.05,529,Routine,2199,Intermediate,0.240563893,General
Assistant Portfolio Manager,0.05,999,Complex,3892,Intermediate,0.25668037,Management & Administration
Chief Information Officer,0.05,1117,Routine,4514,Intermediate,0.24745237,General
Founder,0.05,972,Routine,3668,Intermediate,0.264994547,General
Funeral Director,0.05,323,Complex,1322,Basic,0.244326778,Management & Administration
Ombudsman,0.05,511,Routine,2380,Intermediate,0.214705882,General
Partner,0.05,607,Routine,2594,Intermediate,0.234001542,General
Inventor,0.05,850,Routine,3331,Intermediate,0.255178625,General
Sales Trader,0.05,639,Routine,2814,Intermediate,0.227078891,Sales & Marketing
Vp Sales,0.05,1051,Routine,4195,Intermediate,0.250536353,Sales & Marketing
Assistant Director Of Nursing,0.05,723,Complex,2937,Intermediate,0.246169561,Management & Administration
Certified Nurse Midwife,0.05,664,Routine,2770,Intermediate,0.239711191,Healthcare
Charge Nurse,0.05,687,Routine,2798,Intermediate,0.245532523,Healthcare
Clinical Nurse Specialist,0.05,705,Complex,2995,Intermediate,0.235392321,Healthcare
Clinical Research Nurse,0.05,745,Routine,3011,Intermediate,0.247426104,Healthcare
Critical Care Nurse,0.05,669,Routine,2761,Intermediate,0.242303513,Healthcare
Emergency Room Nurse,0.05,661,Routine,2774,Intermediate,0.238284066,Healthcare
Home Health Nurse,0.05,373,Routine,1542,Intermediate,0.241893645,Healthcare
Hospice Nurse,0.05,363,Routine,1498,Basic,0.242323097,Healthcare
Nurse Liaison,0.05,473,Routine,2159,Intermediate,0.219082909,Healthcare
Nurse Midwife,0.05,451,Routine,1925,Intermediate,0.234285714,Healthcare
Nurse Specialist,0.05,457,Complex,2123,Intermediate,0.215261423,Healthcare
Nursing Home,0.05,432,Routine,1881,Intermediate,0.229665072,General
Occupational Nurse,0.05,438,Routine,2092,Intermediate,0.209369025,Healthcare
Operating Room Nurse,0.05,431,Routine,2069,Intermediate,0.208313195,Healthcare
Rehabilitation Nurse,0.05,454,Routine,1965,Intermediate,0.231043257,Healthcare
Research Nurse,0.05,533,Routine,2172,Intermediate,0.245395948,Healthcare
School Nurse,0.05,454,Routine,2122,Intermediate,0.213949105,Healthcare
Surgical Nurse,0.05,379,Routine,1636,Intermediate,0.231662592,Healthcare
Wound Care Nurse,0.05,395,Routine,1862,Intermediate,0.212137487,Healthcare
Captain,0.05,359,Routine,1639,Intermediate,0.219035998,General
Resident Assistant,0.05,512,Routine,2650,Intermediate,0.193207547,General
Starter,0.05,266,Routine,1126,Basic,0.236234458,General
Clinical Research Assistant,0.05,1022,Routine,4201,Intermediate,0.243275411,General
Engineering Assistant,0.05,1123,Complex,4802,Intermediate,0.233860891,Engineering & Technology
Au Pair,0.05,658,Routine,2752,Intermediate,0.239098837,General
Child Care Worker,0.05,708,Routine,2884,Intermediate,0.245492372,General
Companion,0.05,652,Routine,2634,Intermediate,0.24753227,General
Elderly Companion,0.05,618,Routine,2543,Intermediate,0.243020055,General
House Sitter,0.05,241,Routine,869,Basic,0.277330265,General
Live In Nanny,0.05,462,Routine,1680,Intermediate,0.275,General
Nanny,0.05,455,Routine,1667,Intermediate,0.272945411,General
Nursery Worker,0.05,266,Routine,1183,Basic,0.224852071,Healthcare
Summer Nanny,0.05,367,Routine,1428,Basic,0.257002801,General
Border Patrol Agent,0.05,504,Routine,2077,Intermediate,0.242657679,General
Forensic Pathologist,0.05,417,Routine,1705,Intermediate,0.24457478,General
Forensic Psychologist,0.05,468,Routine,2114,Intermediate,0.221381268,General
Infantry,0.05,237,Routine,891,Basic,0.265993266,General
Infantryman,0.05,236,Routine,889,Basic,0.265466817,General
Law Enforcement Officer,0.05,382,Routine,1256,Basic,0.304140127,General
Marine,0.05,255,Routine,934,Basic,0.273019272,General
Military,0.05,257,Routine,930,Basic,0.276344086,General
National Guard,0.05,199,Routine,757,Basic,0.262879789,General
State Trooper,0.05,242,Routine,1347,Basic,0.1796585,General
Unarmed Security Guard,0.05,268,Routine,1187,Basic,0.225779275,General
Document Review Attorney,0.05,958,Routine,3800,Intermediate,0.252105263,General
Hacker,0.05,888,Routine,3499,Intermediate,0.253786796,General
Music Therapist,0.05,505,Routine,2155,Intermediate,0.234338747,General
Physical Therapist,0.05,606,Routine,2815,Intermediate,0.215275311,General
Physical Therapist Aide,0.05,575,Routine,2737,Intermediate,0.210084034,General
Physical Therapy Aide,0.05,575,Routine,2768,Intermediate,0.207731214,General
Physical Therapy Assistant,0.05,607,Routine,2882,Intermediate,0.210617627,General
Physical Therapy Technician,0.05,558,Routine,2748,Intermediate,0.203056769,Engineering & Technology
Rehabilitation Aide,0.05,531,Routine,2689,Intermediate,0.197471179,General
Rehabilitation Technician,0.05,535,Routine,2690,Intermediate,0.198884758,Engineering & Technology
Speech Language Pathologist,0.05,805,Routine,3328,Intermediate,0.241887019,General
Speech Therapist,0.05,794,Routine,3311,Intermediate,0.239806705,General
Speech Therapy Assistant,0.05,782,Routine,3282,Intermediate,0.238269348,General
Sports Physical Therapist,0.05,494,Routine,2640,Intermediate,0.187121212,General
Corporate Attorney,0.05,973,Routine,3940,Intermediate,0.246954315,General
Housekeeper,0.05,275,Routine,1097,Basic,0.250683683,General
Landscaper,0.05,279,Routine,825,Basic,0.338181818,General
Vice Principal,0.05,885,Routine,3783,Intermediate,0.233941316,General
Aesthetician,0.05,452,Routine,2006,Intermediate,0.225324028,General
Apparel Designer,0.05,823,Routine,3763,Intermediate,0.218708477,General
Beautician,0.05,887,Routine,3574,Intermediate,0.248181309,General
Beauty Advisor,0.05,943,Routine,4205,Intermediate,0.224256837,General
Beauty Consultant,0.05,952,Complex,4217,Intermediate,0.225752905,Business & Consulting
Colorist,0.05,965,Routine,4307,Intermediate,0.224053866,General
Cosmetic Chemist,0.05,985,Routine,4286,Intermediate,0.229818012,General
Cosmetologist,0.05,823,Routine,3273,Intermediate,0.251451268,General
Costume Designer,0.05,1169,Routine,4939,Intermediate,0.236687589,General
Design Consultant,0.05,1235,Complex,5195,Intermediate,0.237728585,Business & Consulting
Esthetician,0.05,777,Routine,3116,Intermediate,0.249358151,General
Fashion Buyer,0.05,1005,Routine,4453,Intermediate,0.225690546,General
Fashion Consultant,0.05,916,Complex,3549,Intermediate,0.258100873,Business & Consulting
Fashion Stylist,0.05,914,Routine,3540,Intermediate,0.25819209,General
Footwear Designer,0.05,800,Routine,3168,Intermediate,0.252525253,General
Hair Stylist,0.05,543,Routine,1992,Intermediate,0.272590361,General
Hairdresser,0.05,515,Routine,1951,Intermediate,0.263967196,General
Make Up Artist,0.05,644,Routine,2503,Intermediate,0.25729125,General
Male Model,0.05,635,Routine,2214,Intermediate,0.286811201,General
Manicurist,0.05,447,Routine,1793,Intermediate,0.249302844,General
Master Esthetician,0.05,429,Routine,1689,Intermediate,0.253996448,General
Model,0.05,641,Routine,2398,Intermediate,0.267306088,General
Nail Technician,0.05,445,Routine,1766,Intermediate,0.25198188,Engineering & Technology
Personal Stylist,0.05,512,Routine,2414,Intermediate,0.212096106,General
Photo Stylist,0.05,492,Routine,2386,Intermediate,0.20620285,General
Salon Assistant,0.05,298,Routine,1561,Intermediate,0.190903267,General
Spa Manager,0.05,420,Complex,2080,Intermediate,0.201923077,Management & Administration
Stylist,0.05,513,Routine,2440,Intermediate,0.210245902,General
Geographer,0.05,631,Routine,2548,Intermediate,0.247645212,General
Herbalist,0.05,484,Routine,2256,Intermediate,0.214539007,General
Historian,0.05,684,Routine,2672,Intermediate,0.255988024,General
Chief Financial Officer (CFO),0.05,1032,Routine,3980,Intermediate,0.259296482,General
Head Teller,0.05,675,Routine,2448,Intermediate,0.275735294,General
Loss Prevention Specialist,0.05,662,Complex,2187,Intermediate,0.302697759,General
Money Manager,0.05,904,Complex,3355,Intermediate,0.269448584,Management & Administration
Payroll,0.05,667,Routine,2667,Intermediate,0.250093738,General
Private Equity,0.05,579,Routine,2310,Intermediate,0.250649351,General
Retail Banker,0.05,637,Routine,2687,Intermediate,0.237067361,General
Body Shop Manager,0.05,562,Complex,2519,Intermediate,0.223104407,Management & Administration
Transportation Security Officer,0.05,400,Routine,1681,Intermediate,0.237953599,General
Chief Information Security Officer,0.05,902,Routine,3116,Intermediate,0.289473684,General
Therapy Aide,0.05,750,Routine,3393,Intermediate,0.221043324,General
Affiliate Manager,0.05,1157,Complex,4346,Intermediate,0.266221813,Management & Administration
Clinical Operations Manager,0.05,1054,Complex,3699,Intermediate,0.284941876,Management & Administration
Caregiver,0.05,608,Routine,2504,Intermediate,0.242811502,General
Admissions Coordinator,0.05,1188,Routine,4603,Intermediate,0.258092548,General
Clinical Director,0.05,1005,Complex,3452,Intermediate,0.291135574,Management & Administration
Accounting Professor,0.05,957,Routine,4189,Intermediate,0.228455479,General
Accounting Tutor,0.05,917,Routine,4008,Intermediate,0.228792415,Education
Adjunct Instructor,0.05,1174,Routine,4677,Intermediate,0.251015608,Education
Adjunct Nursing Faculty,0.05,1167,Routine,4664,Intermediate,0.250214408,General
Adjunct Professor,0.05,1173,Routine,4687,Intermediate,0.250266695,General
Adjunct Teacher,0.05,1156,Complex,4611,Intermediate,0.250704836,Education
Admissions Advisor,0.05,1226,Routine,4718,Intermediate,0.259855871,General
Sports Psychologist,0.05,722,Routine,3206,Intermediate,0.225202745,General
Fire Watch,0.05,261,Routine,1008,Basic,0.258928571,General
Groundman,0.05,287,Routine,1370,Basic,0.209489051,General
Groundsman,0.05,295,Routine,1329,Basic,0.221971407,General
Mascot,0.05,447,Routine,1699,Intermediate,0.263095939,General
Senior Pastor,0.05,661,Routine,2600,Intermediate,0.254230769,General
Investor,0.05,995,Routine,3428,Intermediate,0.290256709,General
Revenue Officer,0.05,837,Routine,3156,Intermediate,0.265209125,General
Musician,0.05,654,Routine,2764,Intermediate,0.236613603,General
Organist,0.05,586,Routine,2397,Intermediate,0.244472257,General
Pianist,0.05,586,Routine,2410,Intermediate,0.243153527,General
Singer,0.05,686,Routine,2798,Intermediate,0.245175125,General
Airport,0.05,556,Routine,2206,Intermediate,0.252039891,General
Director,0.05,1316,Complex,4695,Intermediate,0.28029819,Management & Administration
Nurse,0.05,710,Routine,2594,Intermediate,0.273708558,Healthcare
Technician,0.05,825,Routine,3256,Intermediate,0.253378378,Engineering & Technology
Physical Education Teacher,0.06,744,Complex,3252,Intermediate,0.228782288,Education
Physics Teacher,0.06,743,Complex,3226,Intermediate,0.230316181,Education
Piano Teacher,0.06,769,Complex,3735,Intermediate,0.205890228,Education
Math Instructor,0.07,841,Routine,3540,Intermediate,0.237570621,Education
Math Tutor,0.07,837,Routine,3542,Intermediate,0.236307171,Education
Middle School Science Teacher,0.07,889,Complex,3644,Intermediate,0.243962678,Education
Middle School Teacher,0.07,861,Complex,3600,Intermediate,0.239166667,Education
Montessori Teacher,0.07,689,Complex,2885,Intermediate,0.23882149,Education
Music Teacher,0.07,679,Complex,2832,Intermediate,0.239759887,Education
Orchestra Teacher,0.07,768,Complex,3356,Intermediate,0.228843862,Education
High School Math Teacher,0.08,889,Complex,3663,Intermediate,0.242697243,Education
High School Science Teacher,0.08,913,Complex,3726,Intermediate,0.24503489,Education
High School Spanish Teacher,0.08,874,Complex,3629,Intermediate,0.240837696,Education
High School Teacher,0.08,917,Complex,3784,Intermediate,0.242336152,Education
History Teacher,0.08,896,Complex,3702,Intermediate,0.242031334,Education
History Tutor,0.08,850,Routine,3613,Intermediate,0.235261555,Education
Infant Teacher,0.08,705,Complex,2839,Intermediate,0.248326876,Education
Kindergarten Teacher,0.08,836,Complex,3452,Intermediate,0.242178447,Education
Language Arts Teacher,0.08,813,Complex,3448,Intermediate,0.235788863,Education
Latin Teacher,0.08,731,Complex,3117,Intermediate,0.234520372,Education
Mandarin Teacher,0.08,762,Complex,3230,Intermediate,0.235913313,Education
High School English Teacher,0.09,902,Complex,3694,Intermediate,0.244179751,Education
High School History Teacher,0.09,894,Complex,3684,Intermediate,0.24267101,Education
Auto Detailer,0.1,211,Routine,895,Basic,0.23575419,General
Day Porter,0.1,392,Routine,1650,Intermediate,0.237575758,General
Detailer,0.1,539,Routine,1896,Intermediate,0.2842827,General
Electrical Superintendent,0.1,814,Routine,3497,Intermediate,0.232770947,General
Equipment Manager,0.1,723,Complex,3119,Intermediate,0.231805066,Management & Administration
Farm,0.1,553,Routine,2720,Intermediate,0.203308824,General
Farm Hand,0.1,498,Routine,1929,Intermediate,0.258164852,General
Farm Manager,0.1,609,Complex,2914,Intermediate,0.208991078,Management & Administration
Farmer,0.1,533,Routine,2542,Intermediate,0.209677419,General
Finisher,0.1,448,Routine,2046,Intermediate,0.218963832,General
Jeweler,0.1,470,Routine,2560,Intermediate,0.18359375,General
Landscape Foreman,0.1,538,Routine,2203,Intermediate,0.244212438,General
Landscaping,0.1,551,Routine,2538,Intermediate,0.217100079,General
Loadmaster,0.1,554,Routine,2024,Intermediate,0.273715415,General
Low Voltage Electrician,0.1,529,Routine,1951,Intermediate,0.271143004,General
Luthier,0.1,285,Routine,1143,Basic,0.249343832,General
Maintenance Assistant,0.1,725,Routine,2630,Intermediate,0.275665399,General
Manual Machinist,0.1,194,Routine,846,Basic,0.229314421,General
Marine Electrician,0.1,235,Routine,938,Basic,0.250533049,General
Mig Welder,0.1,185,Routine,836,Basic,0.221291866,General
Motorcycle Mechanic,0.1,204,Routine,858,Basic,0.237762238,General
Oil Field,0.1,226,Routine,945,Basic,0.239153439,General
Pipefitter,0.1,201,Routine,892,Basic,0.225336323,General
Plasterer,0.1,186,Routine,842,Basic,0.220902613,General
Plumbing Inspector,0.1,289,Routine,1084,Basic,0.266605166,General
Porter,0.1,203,Routine,1030,Basic,0.197087379,General
Rig Welder,0.1,89,Routine,370,Basic,0.240540541,General
Solar Installer,0.1,198,Routine,822,Basic,0.240875912,General
Solar Panel Installer,0.1,194,Routine,813,Basic,0.238622386,General
Solar Technician,0.1,194,Routine,815,Basic,0.23803681,Engineering & Technology
Sprinkler Fitter,0.1,86,Routine,318,Basic,0.270440252,General
Union Carpenter,0.1,298,Routine,1093,Basic,0.272644099,General
Wildlife Technician,0.1,317,Routine,1366,Basic,0.232064422,Engineering & Technology
Wind Technician,0.1,278,Routine,1090,Basic,0.255045872,Engineering & Technology
Wind Turbine Technician,0.1,276,Routine,1087,Basic,0.253909844,Engineering & Technology
Lumper,0.1,425,Routine,1675,Intermediate,0.253731343,General
Manufacturing,0.1,640,Routine,2655,Intermediate,0.241054614,General
Production Specialist,0.1,646,Complex,3209,Intermediate,0.201308819,General
Seamstress,0.1,200,Routine,1295,Basic,0.154440154,General
Stitcher,0.1,232,Routine,1451,Basic,0.159889731,General
Process Development Engineer,0.1,480,Complex,2317,Intermediate,0.207164437,Engineering & Technology
Production Technician,0.1,441,Routine,2194,Intermediate,0.201002735,Engineering & Technology
Release Manager,0.1,914,Complex,4248,Intermediate,0.215160075,Management & Administration
Technical Manager,0.1,1269,Complex,5328,Intermediate,0.238175676,Management & Administration
Yield Engineer,0.1,860,Complex,3399,Intermediate,0.253015593,Engineering & Technology
Aquatics Director,0.1,545,Complex,2319,Intermediate,0.235015093,Management & Administration
Director Of Analytics,0.1,1104,Complex,4608,Intermediate,0.239583333,Management & Administration
Psychometrist,0.1,593,Routine,2473,Intermediate,0.239789729,General
Activities Director,0.1,844,Complex,3562,Intermediate,0.236945536,Management & Administration
Benefits Manager,0.1,932,Complex,3718,Intermediate,0.250672405,Management & Administration
Campus Recruiter,0.1,951,Routine,4469,Intermediate,0.212799284,General
Headhunter,0.1,1005,Routine,3934,Intermediate,0.255465175,General
Hr Assistant,0.1,1135,Routine,4773,Intermediate,0.237795935,General
Hr Representative,0.1,1147,Routine,4480,Intermediate,0.256026786,General
Hse Manager,0.1,1016,Complex,3865,Intermediate,0.262871928,Management & Administration
Human Resource Assistant,0.1,1143,Routine,4472,Intermediate,0.25559034,General
Human Resources Assistant,0.1,1140,Routine,4541,Intermediate,0.251046025,General
Human Resources Officer,0.1,1192,Routine,4622,Intermediate,0.257897014,General
Leadership Development Program,0.1,1232,Routine,4753,Intermediate,0.259204713,General
Learning And Development Specialist,0.1,1290,Complex,4877,Intermediate,0.264506869,General
Training Director,0.1,1249,Complex,5027,Intermediate,0.248458325,Management & Administration
Vice President Of Human Resources,0.1,1110,Routine,4297,Intermediate,0.258319758,General
Administrative Law Judge,0.1,644,Routine,2667,Intermediate,0.241469816,General
City Attorney,0.1,504,Routine,2206,Intermediate,0.228467815,General
Court Administrator,0.1,526,Routine,2215,Intermediate,0.237471783,General
District Attorney,0.1,493,Routine,2151,Intermediate,0.229195723,General
Inspector General,0.1,816,Routine,3373,Intermediate,0.241921138,General
Managing Partner,0.1,802,Routine,2992,Intermediate,0.268048128,General
Mediator,0.1,484,Routine,1889,Intermediate,0.256220222,General
Subject Matter Expert,0.1,1085,Routine,4129,Intermediate,0.26277549,General
Animal Trainer,0.1,310,Routine,1313,Basic,0.236100533,General
Dog Bather,0.1,203,Routine,972,Basic,0.208847737,General
Dog Daycare,0.1,228,Routine,1127,Basic,0.20230701,General
Dog Handler,0.1,216,Routine,1005,Basic,0.214925373,General
Dog Sitter,0.1,185,Routine,941,Basic,0.196599362,General
Dog Walker,0.1,338,Routine,1529,Intermediate,0.221059516,General
Equestrian,0.1,428,Routine,2239,Intermediate,0.191156766,General
Pet Sitter,0.1,190,Routine,705,Basic,0.269503546,General
Wrangler,0.1,204,Routine,747,Basic,0.273092369,General
Advocate,0.1,534,Routine,2117,Intermediate,0.252243741,General
Chaplain,0.1,391,Routine,1736,Intermediate,0.225230415,General
Hospital Chaplain,0.1,495,Routine,2232,Intermediate,0.221774194,General
Worship Leader,0.1,676,Routine,2702,Intermediate,0.250185048,General
Youth Minister,0.1,737,Routine,3318,Intermediate,0.22212176,General
Assistant Golf Professional,0.1,562,Routine,2674,Intermediate,0.210172027,General
Golf Course Superintendent,0.1,559,Routine,2805,Intermediate,0.199286988,General
Golf Professional,0.1,506,Routine,2537,Intermediate,0.199448167,General
Agile Coach,0.1,895,Routine,3877,Intermediate,0.230848594,General
Bridal Consultant,0.1,712,Complex,3158,Intermediate,0.225459151,Business & Consulting
Career Advisor,0.1,915,Routine,3738,Intermediate,0.244783307,General
Career Counselor,0.1,909,Routine,3747,Intermediate,0.242594075,General
Franchise Business Consultant,0.1,1150,Complex,4700,Intermediate,0.244680851,Business & Consulting
Job Coach,0.1,915,Routine,3836,Intermediate,0.238529718,General
Life Coach,0.1,960,Routine,3946,Intermediate,0.243284339,General
Relocation Consultant,0.1,896,Complex,3978,Intermediate,0.225238813,Business & Consulting
Call Center Director,0.1,1109,Complex,4263,Intermediate,0.260145437,Management & Administration
Client Advisor,0.1,1087,Routine,4173,Intermediate,0.260484064,General
Client Coordinator,0.1,1096,Routine,4176,Intermediate,0.262452107,General
Customer Representative,0.1,1069,Routine,4137,Intermediate,0.258399807,General
Customer Service Advisor,0.1,1084,Routine,4177,Basic,0.259516399,Customer Service
Customer Service Agent,0.1,1085,Routine,4191,Basic,0.258888094,Customer Service
Customer Service Assistant,0.1,1062,Routine,4115,Basic,0.258080194,Customer Service
Customer Service Coordinator,0.1,1066,Routine,4140,Basic,0.257487923,Customer Service
Customer Service Manager,0.1,1071,Routine,4143,Intermediate,0.258508327,Management & Administration
Account Assistant,0.1,1027,Routine,4177,Intermediate,0.245870242,General
Account Coordinator,0.1,1040,Routine,4194,Intermediate,0.247973295,General
Advertising Assistant,0.1,1165,Routine,4985,Intermediate,0.233701103,General
Advertising Coordinator,0.1,1171,Routine,4994,Intermediate,0.234481378,General
Booking Agent,0.1,1008,Routine,4303,Intermediate,0.234255171,General
Copywriter,0.1,1119,Routine,4811,Intermediate,0.232591977,General
Creative Assistant,0.1,1073,Routine,4404,Intermediate,0.243642144,General
Creative Director,0.1,1152,Complex,4622,Intermediate,0.249242752,Management & Administration
Field Marketing Representative,0.1,1115,Routine,4804,Intermediate,0.232098251,Sales & Marketing
Marketing Copywriter,0.1,981,Routine,4424,Intermediate,0.221745027,Sales & Marketing
Production Worker,0.1,415,Routine,1792,Intermediate,0.231584821,General
Promotions Assistant,0.1,1084,Routine,4837,Intermediate,0.224105851,General
Senior Copywriter,0.1,1093,Routine,4755,Intermediate,0.229863302,General
Sponsor,0.1,863,Routine,3787,Intermediate,0.227884869,General
Gas Station Cashier,0.1,633,Routine,2815,Intermediate,0.224866785,General
Grocery Bagger,0.1,540,Routine,2184,Intermediate,0.247252747,General
Grocery Store Manager,0.1,912,Complex,4160,Intermediate,0.219230769,Management & Administration
Mall,0.1,650,Routine,2786,Intermediate,0.233309404,General
Meat Cutter,0.1,197,Routine,856,Basic,0.230140187,General
Merchandising,0.1,747,Routine,3111,Intermediate,0.240115718,General
Retail Assistant Manager,0.1,1006,Complex,4288,Intermediate,0.234608209,Management & Administration
Retail Director,0.1,1003,Complex,4288,Intermediate,0.233908582,Management & Administration
