Job Titles,AI Impact,Tasks,AI Models,AI Workload Ratio,Domain
Justice,0.05,313,1207,0.25932063,Supply Chain & Logistics
Notary Public,0.05,490,2166,0.226223453,Law Enforcement
Animal Care Technician,0.05,292,1453,0.200963524,Construction
Animal Caretaker,0.05,267,1393,0.191672649,Sales & Marketing
Animal Keeper,0.05,272,1404,0.193732194,Hospitality
Animal Technician,0.05,273,1439,0.18971508,Communication & PR
Associate Veterinarian,0.05,612,2390,0.256066946,Data & IT
Cowboy,0.05,293,1014,0.288954635,Administrative & Clerical
Hostler,0.05,310,1098,0.282331512,Leadership & Strategy
Marine Mammal Trainer,0.05,493,1919,0.256904638,Medical & Healthcare
Ranch Hand,0.05,250,1028,0.243190661,Supply Chain & Logistics
Ranch Manager,0.05,351,1359,0.258278146,Law Enforcement
Veterinarian,0.05,397,1594,0.249058971,Construction
Veterinary,0.05,388,1600,0.2425,Sales & Marketing
Zoologist,0.05,307,1165,0.263519313,Hospitality
Bishop,0.05,543,2300,0.236086957,Communication & PR
Deaconess,0.05,532,2242,0.237288136,Data & IT
Lead Pastor,0.05,514,2290,0.224454148,Administrative & Clerical
Minister,0.05,505,2351,0.214802212,Leadership & Strategy
Pastor,0.05,565,2730,0.206959707,Medical & Healthcare
Priest,0.05,556,2640,0.210606061,Supply Chain & Logistics
Rabbi,0.05,562,2693,0.208689194,Law Enforcement
Baseball Coach,0.05,954,3636,0.262376238,Construction
Basketball Coach,0.05,952,3634,0.261970281,Sales & Marketing
Basketball Referee,0.05,828,2960,0.27972973,Hospitality
Cheerleading Coach,0.05,890,3391,0.262459451,Communication & PR
Diving Coach,0.05,822,2945,0.279117148,Data & IT
Event Planner,0.05,1273,5304,0.240007541,Administrative & Clerical
Golf Coach,0.05,529,2199,0.240563893,Leadership & Strategy
Assistant Portfolio Manager,0.05,999,3892,0.25668037,Medical & Healthcare
Chief Information Officer,0.05,1117,4514,0.24745237,Supply Chain & Logistics
Founder,0.05,972,3668,0.264994547,Law Enforcement
Funeral Director,0.05,323,1322,0.244326778,Construction
Ombudsman,0.05,511,2380,0.214705882,Sales & Marketing
Partner,0.05,607,2594,0.234001542,Hospitality
Inventor,0.05,850,3331,0.255178625,Communication & PR
Sales Trader,0.05,639,2814,0.227078891,Data & IT
Vp Sales,0.05,1051,4195,0.250536353,Administrative & Clerical
Assistant Director Of Nursing,0.05,723,2937,0.246169561,Leadership & Strategy
Certified Nurse Midwife,0.05,664,2770,0.239711191,Medical & Healthcare
Charge Nurse,0.05,687,2798,0.245532523,Supply Chain & Logistics
Clinical Nurse Specialist,0.05,705,2995,0.235392321,Law Enforcement
Clinical Research Nurse,0.05,745,3011,0.247426104,Construction
Critical Care Nurse,0.05,669,2761,0.242303513,Sales & Marketing
Emergency Room Nurse,0.05,661,2774,0.238284066,Hospitality
Home Health Nurse,0.05,373,1542,0.241893645,Communication & PR
Hospice Nurse,0.05,363,1498,0.242323097,Data & IT
Nurse Liaison,0.05,473,2159,0.219082909,Administrative & Clerical
Nurse Midwife,0.05,451,1925,0.234285714,Leadership & Strategy
Nurse Specialist,0.05,457,2123,0.215261423,Medical & Healthcare
Nursing Home,0.05,432,1881,0.229665072,Supply Chain & Logistics
Occupational Nurse,0.05,438,2092,0.209369025,Law Enforcement
Operating Room Nurse,0.05,431,2069,0.208313195,Construction
Rehabilitation Nurse,0.05,454,1965,0.231043257,Sales & Marketing
Research Nurse,0.05,533,2172,0.245395948,Hospitality
School Nurse,0.05,454,2122,0.213949105,Communication & PR
Surgical Nurse,0.05,379,1636,0.231662592,Data & IT
Wound Care Nurse,0.05,395,1862,0.212137487,Administrative & Clerical
Captain,0.05,359,1639,0.219035998,Leadership & Strategy
Resident Assistant,0.05,512,2650,0.193207547,Medical & Healthcare
Starter,0.05,266,1126,0.236234458,Supply Chain & Logistics
Clinical Research Assistant,0.05,1022,4201,0.243275411,Law Enforcement
Engineering Assistant,0.05,1123,4802,0.233860891,Construction
Au Pair,0.05,658,2752,0.239098837,Sales & Marketing
Child Care Worker,0.05,708,2884,0.245492372,Hospitality
Companion,0.05,652,2634,0.24753227,Communication & PR
Elderly Companion,0.05,618,2543,0.243020055,Data & IT
House Sitter,0.05,241,869,0.277330265,Administrative & Clerical
Live In Nanny,0.05,462,1680,0.275,Leadership & Strategy
Nanny,0.05,455,1667,0.272945411,Medical & Healthcare
Nursery Worker,0.05,266,1183,0.224852071,Supply Chain & Logistics
Summer Nanny,0.05,367,1428,0.257002801,Law Enforcement
Border Patrol Agent,0.05,504,2077,0.242657679,Construction
Forensic Pathologist,0.05,417,1705,0.24457478,Sales & Marketing
Forensic Psychologist,0.05,468,2114,0.221381268,Hospitality
Infantry,0.05,237,891,0.265993266,Communication & PR
Infantryman,0.05,236,889,0.265466817,Data & IT
Law Enforcement Officer,0.05,382,1256,0.304140127,Administrative & Clerical
Marine,0.05,255,934,0.273019272,Leadership & Strategy
Military,0.05,257,930,0.276344086,Medical & Healthcare
National Guard,0.05,199,757,0.262879789,Supply Chain & Logistics
State Trooper,0.05,242,1347,0.1796585,Law Enforcement
Unarmed Security Guard,0.05,268,1187,0.225779275,Construction
Document Review Attorney,0.05,958,3800,0.252105263,Sales & Marketing
Hacker,0.05,888,3499,0.253786796,Hospitality
Music Therapist,0.05,505,2155,0.234338747,Communication & PR
Physical Therapist,0.05,606,2815,0.215275311,Data & IT
Physical Therapist Aide,0.05,575,2737,0.210084034,Administrative & Clerical
Physical Therapy Aide,0.05,575,2768,0.207731214,Leadership & Strategy
Physical Therapy Assistant,0.05,607,2882,0.210617627,Medical & Healthcare
Physical Therapy Technician,0.05,558,2748,0.203056769,Supply Chain & Logistics
Rehabilitation Aide,0.05,531,2689,0.197471179,Law Enforcement
Rehabilitation Technician,0.05,535,2690,0.198884758,Construction
Speech Language Pathologist,0.05,805,3328,0.241887019,Sales & Marketing
Speech Therapist,0.05,794,3311,0.239806705,Hospitality
Speech Therapy Assistant,0.05,782,3282,0.238269348,Communication & PR
Sports Physical Therapist,0.05,494,2640,0.187121212,Data & IT
Corporate Attorney,0.05,973,3940,0.246954315,Administrative & Clerical
Housekeeper,0.05,275,1097,0.250683683,Leadership & Strategy
Landscaper,0.05,279,825,0.338181818,Medical & Healthcare
Vice Principal,0.05,885,3783,0.233941316,Supply Chain & Logistics
Aesthetician,0.05,452,2006,0.225324028,Law Enforcement
Apparel Designer,0.05,823,3763,0.218708477,Construction
Beautician,0.05,887,3574,0.248181309,Sales & Marketing
Beauty Advisor,0.05,943,4205,0.224256837,Hospitality
Beauty Consultant,0.05,952,4217,0.225752905,Communication & PR
Colorist,0.05,965,4307,0.224053866,Data & IT
Cosmetic Chemist,0.05,985,4286,0.229818012,Administrative & Clerical
Cosmetologist,0.05,823,3273,0.251451268,Leadership & Strategy
Costume Designer,0.05,1169,4939,0.236687589,Medical & Healthcare
Design Consultant,0.05,1235,5195,0.237728585,Supply Chain & Logistics
Esthetician,0.05,777,3116,0.249358151,Law Enforcement
Fashion Buyer,0.05,1005,4453,0.225690546,Construction
Fashion Consultant,0.05,916,3549,0.258100873,Sales & Marketing
Fashion Stylist,0.05,914,3540,0.25819209,Hospitality
Footwear Designer,0.05,800,3168,0.252525253,Communication & PR
Hair Stylist,0.05,543,1992,0.272590361,Data & IT
Hairdresser,0.05,515,1951,0.263967196,Administrative & Clerical
Make Up Artist,0.05,644,2503,0.25729125,Leadership & Strategy
Male Model,0.05,635,2214,0.286811201,Medical & Healthcare
Manicurist,0.05,447,1793,0.249302844,Supply Chain & Logistics
Master Esthetician,0.05,429,1689,0.253996448,Law Enforcement
Model,0.05,641,2398,0.267306088,Construction
Nail Technician,0.05,445,1766,0.25198188,Sales & Marketing
Personal Stylist,0.05,512,2414,0.212096106,Hospitality
Photo Stylist,0.05,492,2386,0.20620285,Communication & PR
Salon Assistant,0.05,298,1561,0.190903267,Data & IT
Spa Manager,0.05,420,2080,0.201923077,Administrative & Clerical
Stylist,0.05,513,2440,0.210245902,Leadership & Strategy
Geographer,0.05,631,2548,0.247645212,Medical & Healthcare
Herbalist,0.05,484,2256,0.214539007,Supply Chain & Logistics
Historian,0.05,684,2672,0.255988024,Law Enforcement
Chief Financial Officer (CFO),0.05,1032,3980,0.259296482,Construction
Head Teller,0.05,675,2448,0.275735294,Sales & Marketing
Loss Prevention Specialist,0.05,662,2187,0.302697759,Hospitality
Money Manager,0.05,904,3355,0.269448584,Communication & PR
Payroll,0.05,667,2667,0.250093738,Data & IT
Private Equity,0.05,579,2310,0.250649351,Administrative & Clerical
Retail Banker,0.05,637,2687,0.237067361,Leadership & Strategy
Body Shop Manager,0.05,562,2519,0.223104407,Medical & Healthcare
Transportation Security Officer,0.05,400,1681,0.237953599,Supply Chain & Logistics
Chief Information Security Officer,0.05,902,3116,0.289473684,Law Enforcement
Therapy Aide,0.05,750,3393,0.221043324,Construction
Affiliate Manager,0.05,1157,4346,0.266221813,Sales & Marketing
Clinical Operations Manager,0.05,1054,3699,0.284941876,Hospitality
Caregiver,0.05,608,2504,0.242811502,Communication & PR
Admissions Coordinator,0.05,1188,4603,0.258092548,Data & IT
Clinical Director,0.05,1005,3452,0.291135574,Administrative & Clerical
Accounting Professor,0.05,957,4189,0.228455479,Leadership & Strategy
Accounting Tutor,0.05,917,4008,0.228792415,Medical & Healthcare
Adjunct Instructor,0.05,1174,4677,0.251015608,Supply Chain & Logistics
Adjunct Nursing Faculty,0.05,1167,4664,0.250214408,Law Enforcement
Adjunct Professor,0.05,1173,4687,0.250266695,Construction
Adjunct Teacher,0.05,1156,4611,0.250704836,Sales & Marketing
Admissions Advisor,0.05,1226,4718,0.259855871,Hospitality
Sports Psychologist,0.05,722,3206,0.225202745,Communication & PR
Fire Watch,0.05,261,1008,0.258928571,Data & IT
Groundman,0.05,287,1370,0.209489051,Administrative & Clerical
Groundsman,0.05,295,1329,0.221971407,Leadership & Strategy
Mascot,0.05,447,1699,0.263095939,Medical & Healthcare
Senior Pastor,0.05,661,2600,0.254230769,Supply Chain & Logistics
Investor,0.05,995,3428,0.290256709,Law Enforcement
Revenue Officer,0.05,837,3156,0.265209125,Construction
Musician,0.05,654,2764,0.236613603,Sales & Marketing
Organist,0.05,586,2397,0.244472257,Hospitality
Pianist,0.05,586,2410,0.243153527,Communication & PR
Singer,0.05,686,2798,0.245175125,Data & IT
Airport,0.05,556,2206,0.252039891,Administrative & Clerical
Director,0.05,1316,4695,0.28029819,Leadership & Strategy
Nurse,0.05,710,2594,0.273708558,Medical & Healthcare
Technician,0.05,825,3256,0.253378378,Supply Chain & Logistics
Physical Education Teacher,0.06,744,3252,0.228782288,Leadership & Strategy
Physics Teacher,0.06,743,3226,0.230316181,Medical & Healthcare
Piano Teacher,0.06,769,3735,0.205890228,Supply Chain & Logistics
Math Instructor,0.07,841,3540,0.237570621,Law Enforcement
Math Tutor,0.07,837,3542,0.236307171,Construction
Middle School Science Teacher,0.07,889,3644,0.243962678,Sales & Marketing
Middle School Teacher,0.07,861,3600,0.239166667,Hospitality
Montessori Teacher,0.07,689,2885,0.23882149,Communication & PR
Music Teacher,0.07,679,2832,0.239759887,Data & IT
Orchestra Teacher,0.07,768,3356,0.228843862,Administrative & Clerical
High School Math Teacher,0.08,889,3663,0.242697243,Supply Chain & Logistics
High School Science Teacher,0.08,913,3726,0.24503489,Law Enforcement
High School Spanish Teacher,0.08,874,3629,0.240837696,Construction
High School Teacher,0.08,917,3784,0.242336152,Sales & Marketing
History Teacher,0.08,896,3702,0.242031334,Hospitality
History Tutor,0.08,850,3613,0.235261555,Communication & PR
Infant Teacher,0.08,705,2839,0.248326876,Data & IT
Kindergarten Teacher,0.08,836,3452,0.242178447,Administrative & Clerical
Language Arts Teacher,0.08,813,3448,0.235788863,Leadership & Strategy
Latin Teacher,0.08,731,3117,0.234520372,Medical & Healthcare
Mandarin Teacher,0.08,762,3230,0.235913313,Supply Chain & Logistics
High School English Teacher,0.09,902,3694,0.244179751,Leadership & Strategy
High School History Teacher,0.09,894,3684,0.24267101,Medical & Healthcare
Auto Detailer,0.10,211,895,0.23575419,Construction
Day Porter,0.10,392,1650,0.237575758,Sales & Marketing
Detailer,0.10,539,1896,0.2842827,Hospitality
Electrical Superintendent,0.10,814,3497,0.232770947,Communication & PR
Equipment Manager,0.10,723,3119,0.231805066,Data & IT
Farm,0.10,553,2720,0.203308824,Administrative & Clerical
Farm Hand,0.10,498,1929,0.258164852,Leadership & Strategy
Farm Manager,0.10,609,2914,0.208991078,Medical & Healthcare
Farmer,0.10,533,2542,0.209677419,Supply Chain & Logistics
Finisher,0.10,448,2046,0.218963832,Law Enforcement
Jeweler,0.10,470,2560,0.18359375,Construction
Landscape Foreman,0.10,538,2203,0.244212438,Sales & Marketing
Landscaping,0.10,551,2538,0.217100079,Hospitality
Loadmaster,0.10,554,2024,0.273715415,Communication & PR
Low Voltage Electrician,0.10,529,1951,0.271143004,Data & IT
Luthier,0.10,285,1143,0.249343832,Administrative & Clerical
Maintenance Assistant,0.10,725,2630,0.275665399,Leadership & Strategy
Manual Machinist,0.10,194,846,0.229314421,Medical & Healthcare
Marine Electrician,0.10,235,938,0.250533049,Supply Chain & Logistics
Mig Welder,0.10,185,836,0.221291866,Law Enforcement
Motorcycle Mechanic,0.10,204,858,0.237762238,Construction
Oil Field,0.10,226,945,0.239153439,Sales & Marketing
Pipefitter,0.10,201,892,0.225336323,Hospitality
Plasterer,0.10,186,842,0.220902613,Communication & PR
Plumbing Inspector,0.10,289,1084,0.266605166,Data & IT
Porter,0.10,203,1030,0.197087379,Administrative & Clerical
Rig Welder,0.10,89,370,0.240540541,Leadership & Strategy
Solar Installer,0.10,198,822,0.240875912,Medical & Healthcare
Solar Panel Installer,0.10,194,813,0.238622386,Supply Chain & Logistics
Solar Technician,0.10,194,815,0.23803681,Law Enforcement
Sprinkler Fitter,0.10,86,318,0.270440252,Construction
Union Carpenter,0.10,298,1093,0.272644099,Sales & Marketing
Wildlife Technician,0.10,317,1366,0.232064422,Hospitality
Wind Technician,0.10,278,1090,0.255045872,Communication & PR
Wind Turbine Technician,0.10,276,1087,0.253909844,Data & IT
Lumper,0.10,425,1675,0.253731343,Administrative & Clerical
Manufacturing,0.10,640,2655,0.241054614,Leadership & Strategy
Production Specialist,0.10,646,3209,0.201308819,Medical & Healthcare
Seamstress,0.10,200,1295,0.154440154,Supply Chain & Logistics
Stitcher,0.10,232,1451,0.159889731,Law Enforcement
Process Development Engineer,0.10,480,2317,0.207164437,Construction
Production Technician,0.10,441,2194,0.201002735,Sales & Marketing
Release Manager,0.10,914,4248,0.215160075,Hospitality
Technical Manager,0.10,1269,5328,0.238175676,Communication & PR
Yield Engineer,0.10,860,3399,0.253015593,Data & IT
Aquatics Director,0.10,545,2319,0.235015093,Administrative & Clerical
Director Of Analytics,0.10,1104,4608,0.239583333,Leadership & Strategy
Psychometrist,0.10,593,2473,0.239789729,Medical & Healthcare
Activities Director,0.10,844,3562,0.236945536,Supply Chain & Logistics
Benefits Manager,0.10,932,3718,0.250672405,Law Enforcement
Campus Recruiter,0.10,951,4469,0.212799284,Construction
Headhunter,0.10,1005,3934,0.255465175,Sales & Marketing
Hr Assistant,0.10,1135,4773,0.237795935,Hospitality
Hr Representative,0.10,1147,4480,0.256026786,Communication & PR
Hse Manager,0.10,1016,3865,0.262871928,Data & IT
Human Resource Assistant,0.10,1143,4472,0.25559034,Administrative & Clerical
Human Resources Assistant,0.10,1140,4541,0.251046025,Leadership & Strategy
Human Resources Officer,0.10,1192,4622,0.257897014,Medical & Healthcare
Leadership Development Program,0.10,1232,4753,0.259204713,Supply Chain & Logistics
Learning And Development Specialist,0.10,1290,4877,0.264506869,Law Enforcement
Training Director,0.10,1249,5027,0.248458325,Construction
Vice President Of Human Resources,0.10,1110,4297,0.258319758,Sales & Marketing
Administrative Law Judge,0.10,644,2667,0.241469816,Hospitality
City Attorney,0.10,504,2206,0.228467815,Communication & PR
Court Administrator,0.10,526,2215,0.237471783,Data & IT
District Attorney,0.10,493,2151,0.229195723,Administrative & Clerical
Inspector General,0.10,816,3373,0.241921138,Leadership & Strategy
Managing Partner,0.10,802,2992,0.268048128,Medical & Healthcare
Mediator,0.10,484,1889,0.256220222,Supply Chain & Logistics
Subject Matter Expert,0.10,1085,4129,0.26277549,Law Enforcement
Animal Trainer,0.10,310,1313,0.236100533,Construction
Dog Bather,0.10,203,972,0.208847737,Sales & Marketing
Dog Daycare,0.10,228,1127,0.20230701,Hospitality
Dog Handler,0.10,216,1005,0.214925373,Communication & PR
Dog Sitter,0.10,185,941,0.196599362,Data & IT
Dog Walker,0.10,338,1529,0.221059516,Administrative & Clerical
Equestrian,0.10,428,2239,0.191156766,Leadership & Strategy
Pet Sitter,0.10,190,705,0.269503546,Medical & Healthcare
Wrangler,0.10,204,747,0.273092369,Supply Chain & Logistics
Advocate,0.10,534,2117,0.252243741,Law Enforcement
Chaplain,0.10,391,1736,0.225230415,Construction
Hospital Chaplain,0.10,495,2232,0.221774194,Sales & Marketing
Worship Leader,0.10,676,2702,0.250185048,Hospitality
Youth Minister,0.10,737,3318,0.22212176,Communication & PR
Assistant Golf Professional,0.10,562,2674,0.210172027,Data & IT
Golf Course Superintendent,0.10,559,2805,0.199286988,Administrative & Clerical
Golf Professional,0.10,506,2537,0.199448167,Leadership & Strategy
Agile Coach,0.10,895,3877,0.230848594,Medical & Healthcare
Bridal Consultant,0.10,712,3158,0.225459151,Supply Chain & Logistics
Career Advisor,0.10,915,3738,0.244783307,Law Enforcement
Career Counselor,0.10,909,3747,0.242594075,Construction
Franchise Business Consultant,0.10,1150,4700,0.244680851,Sales & Marketing
Job Coach,0.10,915,3836,0.238529718,Hospitality
Life Coach,0.10,960,3946,0.243284339,Communication & PR
Relocation Consultant,0.10,896,3978,0.225238813,Data & IT
Call Center Director,0.10,1109,4263,0.260145437,Administrative & Clerical
Client Advisor,0.10,1087,4173,0.260484064,Leadership & Strategy
Client Coordinator,0.10,1096,4176,0.262452107,Medical & Healthcare
Customer Representative,0.10,1069,4137,0.258399807,Supply Chain & Logistics
Customer Service Advisor,0.10,1084,4177,0.259516399,Law Enforcement
Customer Service Agent,0.10,1085,4191,0.258888094,Construction
Customer Service Assistant,0.10,1062,4115,0.258080194,Sales & Marketing
Customer Service Coordinator,0.10,1066,4140,0.257487923,Hospitality
Customer Service Manager,0.10,1071,4143,0.258508327,Communication & PR
Account Assistant,0.10,1027,4177,0.245870242,Data & IT
Account Coordinator,0.10,1040,4194,0.247973295,Administrative & Clerical
Advertising Assistant,0.10,1165,4985,0.233701103,Leadership & Strategy
Advertising Coordinator,0.10,1171,4994,0.234481378,Medical & Healthcare
Booking Agent,0.10,1008,4303,0.234255171,Supply Chain & Logistics
Copywriter,0.10,1119,4811,0.232591977,Law Enforcement
Creative Assistant,0.10,1073,4404,0.243642144,Construction
Creative Director,0.10,1152,4622,0.249242752,Sales & Marketing
Field Marketing Representative,0.10,1115,4804,0.232098251,Hospitality
Marketing Copywriter,0.10,981,4424,0.221745027,Communication & PR
Production Worker,0.10,415,1792,0.231584821,Data & IT
Promotions Assistant,0.10,1084,4837,0.224105851,Administrative & Clerical
Senior Copywriter,0.10,1093,4755,0.229863302,Leadership & Strategy
Sponsor,0.10,863,3787,0.227884869,Medical & Healthcare
Gas Station Cashier,0.10,633,2815,0.224866785,Supply Chain & Logistics
Grocery Bagger,0.10,540,2184,0.247252747,Law Enforcement
Grocery Store Manager,0.10,912,4160,0.219230769,Construction
Mall,0.10,650,2786,0.233309404,Sales & Marketing
Meat Cutter,0.10,197,856,0.230140187,Hospitality
Merchandising,0.10,747,3111,0.240115718,Communication & PR
Retail Assistant Manager,0.10,1006,4288,0.234608209,Data & IT
Retail Director,0.10,1003,4288,0.233908582,Administrative & Clerical
Retail District Manager,0.10,1010,4280,0.235981308,Leadership & Strategy
Retail Management,0.10,997,4246,0.234809232,Medical & Healthcare
Retail Manager,0.10,1009,4273,0.236133864,Supply Chain & Logistics
Retail Store Manager,0.10,1013,4332,0.233841182,Law Enforcement
Showroom Manager,0.10,1011,4346,0.232627704,Construction
Store Director,0.10,915,3852,0.237538941,Sales & Marketing
Store Manager,0.10,920,4030,0.228287841,Hospitality
Building Superintendent,0.10,850,3426,0.248102744,Communication & PR
Civil Engineer,0.10,1005,3991,0.251816587,Data & IT
Concrete Worker,0.10,463,1556,0.297557841,Administrative & Clerical
Construction Administrator,0.10,859,3253,0.264063941,Leadership & Strategy
Construction Assistant,0.10,639,2396,0.266694491,Medical & Healthcare
Construction Flagger,0.10,468,1615,0.289783282,Supply Chain & Logistics
Construction Helper,0.10,553,1976,0.2798583,Law Enforcement
Construction Project Engineer,0.10,981,3677,0.266793582,Construction
Construction Superintendent,0.10,911,3427,0.265830172,Sales & Marketing
Construction Technician,0.10,880,3156,0.278833967,Hospitality
Director Of Construction,0.10,974,3598,0.270705948,Communication & PR
Director Of Facilities,0.10,959,3486,0.275100402,Data & IT
Electrician Apprentice,0.10,459,1472,0.311820652,Administrative & Clerical
Glazier,0.10,400,1400,0.285714286,Leadership & Strategy
Highway Maintenance Worker,0.10,479,1697,0.282262817,Medical & Healthcare
Ironworker,0.10,348,1201,0.289758535,Supply Chain & Logistics
Roofer,0.10,90,318,0.283018868,Law Enforcement
Saw Filer,0.10,80,372,0.215053763,Construction
Insurance,0.10,831,3555,0.233755274,Sales & Marketing
Medical Librarian,0.10,549,2812,0.195234708,Hospitality
Medication Aide,0.10,491,1951,0.251665812,Communication & PR
Pharmacist Manager,0.10,526,1932,0.272256729,Data & IT
Pharmacy Technician Instructor,0.10,544,2435,0.223408624,Administrative & Clerical
Child Advocate,0.10,602,2522,0.238699445,Leadership & Strategy
Community Organizer,0.10,768,3063,0.250734574,Medical & Healthcare
Immigration Specialist,0.10,769,3186,0.241368487,Supply Chain & Logistics
Social Service,0.10,916,4142,0.221149203,Law Enforcement
Social Service Worker,0.10,908,4129,0.219907968,Construction
Youth Mentor,0.10,777,3037,0.255844583,Sales & Marketing
Supply Chain Management,0.10,1073,4297,0.249709099,Hospitality
Athletic Coordinator,0.10,867,3709,0.233755729,Communication & PR
Athletic Director,0.10,865,3729,0.231965674,Data & IT
Certified Athletic Trainer,0.10,413,1860,0.222043011,Administrative & Clerical
Head Football Coach,0.10,629,3055,0.20589198,Leadership & Strategy
Naturalist,0.10,435,1738,0.250287687,Medical & Healthcare
Referee,0.10,299,1137,0.262972735,Supply Chain & Logistics
Umpire,0.10,376,1242,0.30273752,Law Enforcement
Author,0.10,1112,4724,0.235393734,Construction
Creative Writer,0.10,999,4356,0.229338843,Sales & Marketing
Environment Artist,0.10,786,3918,0.200612557,Hospitality
Field Interviewer,0.10,976,4302,0.226871223,Communication & PR
Game Master,0.10,987,4587,0.215173316,Data & IT
Grant Writer,0.10,1059,4670,0.226766595,Administrative & Clerical
Multimedia Journalist,0.10,998,4180,0.238755981,Leadership & Strategy
News Anchor,0.10,952,4053,0.234887737,Medical & Healthcare
News Photographer,0.10,913,3898,0.234222678,Supply Chain & Logistics
News Reporter,0.10,961,4104,0.234161793,Law Enforcement
Newspaper Reporter,0.10,950,4074,0.233186058,Construction
Photojournalist,0.10,931,3928,0.237016293,Sales & Marketing
Proposal Writer,0.10,1229,5096,0.241169545,Hospitality
Radio Host,0.10,1123,4680,0.239957265,Communication & PR
Report Writer,0.10,1252,5110,0.245009785,Data & IT
Reviewer,0.10,1217,4948,0.245957963,Administrative & Clerical
